"SZK M3X25-200";"1";""
"SZK M3X6-200";"1";""
"DI 10MM";"30";""
"DI 5MM";"30";""
"1N 914";"7";""
"GS 6P";"7";""
"BAT 54 SMD";"7";""
"H11L1M";"7";""
"TPS 3225 10/20";"14";""
"IRLML 6346";"25";""
"ATXMEGA 32A4U-AU";"7";""
"SMD LS 14";"7";""
"BC 847C NXP";"15";""
"MABPM 5S";"10";""
"1N 4001 SMD";"7";""
"DA 5MM";"30";""
"DA 10MM";"30";""
"SK M3";"1";""
"SZK M3X10-200";"1";""
